CustomerID,Date,LoB,Channel,Product,SalesQty,SalesAmount,CustomerSegment,CostPerUnit,TotalCost
C173,2024-08-06,Banking,Online,SavingsPro,9,28692,Individual,1216,10944
C041,2023-04-29,Banking,Online,LoanX,17,53414,SME,1244,21148
C229,2025-04-15,Banking,Agent,CreditLine,10,10070,SME,1340,13400
C125,2023-03-16,Banking,Agent,CreditLine,15,42120,Corporate,1340,20100
C135,2023-09-06,Insurance,Branch,HealthPlus,6,10614,Individual,1493,8958
C071,2023-01-01,Insurance,Agent,TravelCare,12,18888,Corporate,758,9096
C140,2023-07-01,Insurance,Online,TravelCare,20,24980,Individual,758,15160
C033,2024-04-14,Banking,Agent,CreditLine,11,21868,Corporate,1340,14740
C155,2024-10-29,Investment,Branch,GrowthFund,9,22878,SME,1077,9693
C252,2024-03-31,Investment,Branch,EquityMax,1,2143,Corporate,1113,1113
C235,2025-03-01,Banking,Agent,SavingsPro,18,59796,SME,1216,21888
C051,2024-04-11,Insurance,Agent,TravelCare,15,40830,SME,758,11370
C198,2024-03-06,Insurance,Online,LifeSecure,20,13540,Individual,1362,27240
C197,2024-10-11,Insurance,Branch,TravelCare,19,67184,Individual,758,14402
C220,2024-06-28,Banking,Agent,LoanX,13,42848,SME,1244,16172
C134,2023-04-12,Investment,Online,BondSafe,6,3066,Corporate,758,4548
C052,2023-05-24,Banking,Online,CreditLine,8,19984,Corporate,1340,10720
C069,2024-08-18,Insurance,Online,LifeSecure,4,13228,Individual,1362,5448
C071,2023-08-09,Insurance,Agent,HealthPlus,15,16500,Corporate,1493,22395
C271,2023-11-01,Investment,Agent,EquityMax,5,9740,SME,1113,5565
C193,2024-06-08,Banking,Agent,LoanX,17,31076,Corporate,1244,21148
C071,2024-10-12,Investment,Agent,BondSafe,7,21105,SME,758,5306
C275,2025-05-24,Insurance,Branch,LifeSecure,2,2930,SME,1362,2724
C235,2023-10-07,Banking,Online,SavingsPro,9,26532,Individual,1216,10944
C085,2023-06-09,Banking,Online,CreditLine,19,58197,Individual,1340,25460
C238,2023-03-20,Investment,Online,EquityMax,14,30982,SME,1113,15582
C234,2025-06-06,Investment,Agent,EquityMax,18,21726,Corporate,1113,20034
C117,2023-01-16,Insurance,Branch,TravelCare,6,7902,Individual,758,4548
C236,2024-03-12,Investment,Agent,GrowthFund,8,31976,SME,1077,8616
C198,2023-06-18,Banking,Online,LoanX,13,29679,Individual,1244,16172
C181,2025-04-28,Insurance,Branch,LifeSecure,5,8055,Corporate,1362,6810
C017,2024-04-01,Investment,Branch,BondSafe,20,62560,SME,758,15160
C202,2023-02-05,Insurance,Agent,LifeSecure,19,48431,SME,1362,25878
C085,2023-04-02,Banking,Branch,CreditLine,8,6288,Individual,1340,10720
C295,2024-07-16,Banking,Branch,SavingsPro,3,8637,SME,1216,3648
C269,2023-03-26,Investment,Online,EquityMax,18,11286,Corporate,1113,20034
C051,2024-08-22,Banking,Agent,SavingsPro,9,5832,Individual,1216,10944
C060,2023-01-25,Investment,Branch,GrowthFund,12,30996,SME,1077,12924
C160,2023-08-13,Insurance,Online,LifeSecure,10,7170,Corporate,1362,13620
C039,2024-06-17,Banking,Agent,SavingsPro,13,17836,Corporate,1216,15808
C138,2023-04-10,Insurance,Online,HealthPlus,14,53144,SME,1493,20902
C047,2024-07-29,Banking,Online,SavingsPro,4,9260,Corporate,1216,4864
C069,2024-07-20,Insurance,Agent,LifeSecure,18,20700,Individual,1362,24516
C001,2023-04-25,Banking,Agent,CreditLine,7,18032,Corporate,1340,9380
C127,2024-01-20,Investment,Online,BondSafe,4,11960,SME,758,3032
C059,2025-02-03,Insurance,Branch,HealthPlus,3,4983,Individual,1493,4479
C083,2023-12-06,Insurance,Branch,LifeSecure,7,6769,SME,1362,9534
C146,2023-08-12,Banking,Branch,LoanX,15,35850,SME,1244,18660
C115,2023-05-31,Banking,Branch,CreditLine,2,4286,Corporate,1340,2680
C029,2024-10-05,Banking,Online,LoanX,1,958,Corporate,1244,1244
C274,2023-10-07,Investment,Online,BondSafe,2,2784,SME,758,1516
C058,2023-03-12,Banking,Branch,CreditLine,3,2664,SME,1340,4020
C238,2025-03-07,Banking,Branch,CreditLine,9,24111,SME,1340,12060
C220,2024-05-28,Banking,Branch,CreditLine,19,13889,Corporate,1340,25460
C285,2025-04-01,Investment,Agent,BondSafe,2,5768,SME,758,1516
C118,2023-11-14,Banking,Branch,LoanX,7,8540,Corporate,1244,8708
C076,2024-09-21,Banking,Agent,SavingsPro,9,17730,SME,1216,10944
C220,2023-07-09,Investment,Agent,BondSafe,9,9963,Individual,758,6822
C149,2023-08-05,Investment,Online,EquityMax,11,44000,Individual,1113,12243
C127,2023-01-23,Banking,Agent,LoanX,15,39750,SME,1244,18660
C060,2023-07-29,Banking,Online,SavingsPro,11,37840,Corporate,1216,13376
C027,2024-06-15,Investment,Branch,BondSafe,12,44004,Corporate,758,9096
C027,2024-06-21,Insurance,Branch,HealthPlus,10,13550,Individual,1493,14930
C197,2024-09-12,Insurance,Agent,TravelCare,8,14208,Corporate,758,6064
C008,2023-04-26,Investment,Branch,EquityMax,8,7536,SME,1113,8904
C125,2025-04-17,Investment,Agent,GrowthFund,4,8744,Individual,1077,4308
C045,2025-01-21,Banking,Agent,CreditLine,16,49440,Corporate,1340,21440
C124,2024-04-26,Insurance,Agent,TravelCare,6,22380,SME,758,4548
C002,2023-05-05,Investment,Agent,EquityMax,19,26391,SME,1113,21147
C177,2023-04-02,Investment,Agent,GrowthFund,6,8820,SME,1077,6462
C101,2023-12-10,Banking,Online,LoanX,6,22956,Individual,1244,7464
C146,2023-09-03,Insurance,Online,HealthPlus,13,23491,Corporate,1493,19409
C050,2023-06-10,Investment,Online,EquityMax,6,6492,Individual,1113,6678
C217,2024-01-28,Banking,Online,CreditLine,4,8980,Corporate,1340,5360
C010,2023-10-17,Banking,Agent,CreditLine,15,33420,Corporate,1340,20100
C034,2023-01-15,Insurance,Online,HealthPlus,19,56373,Corporate,1493,28367
C164,2024-03-10,Insurance,Online,LifeSecure,5,6470,Individual,1362,6810
C279,2024-03-04,Investment,Branch,BondSafe,9,15588,SME,758,6822
C292,2023-05-28,Banking,Online,LoanX,8,28784,SME,1244,9952
C169,2024-01-02,Insurance,Branch,TravelCare,19,46151,Corporate,758,14402
C292,2025-04-12,Insurance,Agent,LifeSecure,15,55650,Corporate,1362,20430
C078,2024-05-18,Banking,Branch,LoanX,1,3833,Corporate,1244,1244
C253,2024-01-17,Insurance,Branch,LifeSecure,6,13326,Corporate,1362,8172
C028,2025-03-11,Investment,Agent,EquityMax,18,23742,Corporate,1113,20034
C223,2025-03-08,Banking,Branch,CreditLine,20,63660,Corporate,1340,26800
C152,2024-05-06,Banking,Branch,LoanX,9,34767,Individual,1244,11196
C082,2024-04-04,Investment,Branch,GrowthFund,20,27920,Individual,1077,21540
C279,2024-04-02,Insurance,Branch,HealthPlus,4,2152,Corporate,1493,5972
C133,2023-02-20,Banking,Branch,SavingsPro,18,28278,Corporate,1216,21888
C269,2025-04-04,Insurance,Branch,TravelCare,7,10801,Corporate,758,5306
C107,2023-09-25,Insurance,Branch,HealthPlus,15,59505,SME,1493,22395
C162,2023-06-17,Banking,Agent,LoanX,5,16710,Corporate,1244,6220
C136,2025-02-04,Insurance,Agent,LifeSecure,1,3004,Corporate,1362,1362
C121,2024-07-22,Banking,Online,SavingsPro,9,20430,Corporate,1216,10944
C130,2023-09-20,Investment,Online,EquityMax,12,17184,SME,1113,13356
C147,2024-05-12,Investment,Branch,BondSafe,12,7548,SME,758,9096
C071,2023-06-26,Investment,Online,BondSafe,5,15370,SME,758,3790
C071,2024-09-14,Insurance,Agent,TravelCare,14,36736,SME,758,10612
C277,2025-04-25,Investment,Agent,BondSafe,20,69660,Corporate,758,15160
C086,2023-09-27,Insurance,Branch,HealthPlus,4,4976,Corporate,1493,5972
C041,2025-06-14,Insurance,Agent,TravelCare,12,29160,SME,758,9096
C077,2023-01-29,Banking,Branch,LoanX,2,4536,Individual,1244,2488
C112,2024-07-17,Investment,Agent,GrowthFund,17,47940,Individual,1077,18309
C139,2024-07-17,Banking,Agent,SavingsPro,4,3492,SME,1216,4864
C130,2023-08-14,Banking,Online,LoanX,16,40448,Individual,1244,19904
C132,2025-04-14,Banking,Agent,CreditLine,20,38840,SME,1340,26800
C215,2023-10-17,Banking,Online,LoanX,12,47028,SME,1244,14928
C220,2024-06-25,Insurance,Branch,LifeSecure,16,16768,Individual,1362,21792
C121,2025-02-16,Investment,Online,EquityMax,20,57860,Corporate,1113,22260
C087,2024-10-31,Investment,Agent,EquityMax,20,54140,Corporate,1113,22260
C016,2025-04-09,Insurance,Online,HealthPlus,15,53340,Corporate,1493,22395
C098,2024-07-04,Banking,Online,LoanX,14,28700,Corporate,1244,17416
C266,2023-07-29,Insurance,Branch,TravelCare,9,14139,Individual,758,6822
C067,2024-08-31,Banking,Online,LoanX,3,5865,SME,1244,3732
C247,2025-05-11,Investment,Online,BondSafe,11,13233,Individual,758,8338
C281,2023-09-07,Insurance,Online,TravelCare,20,67120,Individual,758,15160
C229,2025-06-03,Investment,Agent,EquityMax,12,13908,SME,1113,13356
C285,2023-11-09,Banking,Branch,CreditLine,6,10596,SME,1340,8040
C214,2024-10-25,Banking,Online,CreditLine,19,50597,SME,1340,25460
C288,2024-02-25,Investment,Branch,EquityMax,1,3145,Corporate,1113,1113
C013,2023-05-06,Insurance,Online,TravelCare,4,7736,Corporate,758,3032
C116,2024-08-04,Insurance,Branch,HealthPlus,6,21936,Individual,1493,8958
C078,2023-01-06,Investment,Branch,EquityMax,15,11535,Corporate,1113,16695
C159,2024-06-01,Insurance,Online,TravelCare,16,15760,Individual,758,12128
C027,2024-02-22,Banking,Branch,LoanX,10,24800,SME,1244,12440
C217,2023-01-02,Investment,Branch,BondSafe,20,14840,Individual,758,15160
C264,2024-02-24,Banking,Agent,SavingsPro,20,19520,Individual,1216,24320
C127,2023-07-18,Insurance,Agent,TravelCare,19,41135,SME,758,14402
C246,2023-07-05,Insurance,Branch,LifeSecure,5,17280,SME,1362,6810
C230,2023-06-02,Banking,Agent,SavingsPro,3,9426,SME,1216,3648
C127,2024-11-13,Banking,Branch,LoanX,5,4160,Individual,1244,6220
C008,2025-04-25,Insurance,Branch,LifeSecure,4,12100,SME,1362,5448
C122,2024-11-16,Investment,Online,EquityMax,18,48366,Corporate,1113,20034
C146,2024-01-24,Banking,Online,CreditLine,14,48006,Individual,1340,18760
C254,2024-01-24,Banking,Agent,LoanX,15,54630,Corporate,1244,18660
C034,2023-08-30,Investment,Agent,EquityMax,11,34012,Individual,1113,12243
C072,2024-05-05,Insurance,Agent,TravelCare,6,19398,Corporate,758,4548
C069,2024-04-20,Banking,Online,LoanX,10,29870,Individual,1244,12440
C171,2023-11-08,Banking,Online,LoanX,7,25921,SME,1244,8708
C038,2023-05-19,Banking,Branch,CreditLine,19,43453,Corporate,1340,25460
C204,2023-03-14,Banking,Agent,LoanX,14,12880,Corporate,1244,17416
C156,2023-03-20,Banking,Online,CreditLine,19,54682,Individual,1340,25460
C136,2024-12-11,Insurance,Branch,HealthPlus,7,9163,SME,1493,10451
C147,2024-01-07,Banking,Online,LoanX,1,3165,Corporate,1244,1244
C295,2025-06-22,Banking,Online,LoanX,13,50518,Corporate,1244,16172
C142,2023-11-22,Banking,Branch,CreditLine,15,33360,Individual,1340,20100
C181,2025-05-27,Banking,Branch,SavingsPro,18,31464,Corporate,1216,21888
C061,2024-06-27,Insurance,Agent,LifeSecure,12,21660,Corporate,1362,16344
C014,2025-03-13,Insurance,Branch,HealthPlus,6,11862,SME,1493,8958
C008,2023-11-09,Banking,Online,CreditLine,10,32160,SME,1340,13400
C111,2023-07-02,Banking,Online,CreditLine,19,13395,Corporate,1340,25460
C127,2024-06-17,Banking,Online,SavingsPro,16,34816,Individual,1216,19456
C074,2024-07-27,Banking,Branch,CreditLine,2,3486,Corporate,1340,2680
C220,2023-03-22,Banking,Branch,CreditLine,9,24525,Individual,1340,12060
C149,2025-06-21,Insurance,Online,HealthPlus,16,43920,SME,1493,23888
C029,2023-06-26,Investment,Branch,BondSafe,12,7392,Corporate,758,9096
C099,2024-08-27,Banking,Branch,CreditLine,1,2337,SME,1340,1340
C261,2023-02-20,Investment,Agent,BondSafe,16,21488,Individual,758,12128
C060,2024-04-04,Investment,Agent,GrowthFund,2,6716,Individual,1077,2154
C237,2023-05-26,Insurance,Branch,HealthPlus,17,40443,Individual,1493,25381
C220,2023-03-09,Insurance,Agent,LifeSecure,3,7104,SME,1362,4086
C001,2023-04-06,Insurance,Agent,TravelCare,11,29689,Corporate,758,8338
C156,2024-02-19,Investment,Agent,BondSafe,18,42642,SME,758,13644
C299,2025-06-13,Insurance,Online,LifeSecure,15,41850,Corporate,1362,20430
C248,2024-11-14,Banking,Branch,LoanX,14,25830,SME,1244,17416
C115,2023-07-14,Insurance,Online,HealthPlus,10,11770,SME,1493,14930
C122,2024-08-16,Banking,Branch,CreditLine,14,53200,Individual,1340,18760
C063,2023-04-22,Banking,Online,SavingsPro,14,43456,SME,1216,17024
C242,2023-07-25,Investment,Branch,BondSafe,14,7588,Individual,758,10612
C098,2024-05-01,Insurance,Agent,TravelCare,13,27716,Individual,758,9854
C225,2025-04-03,Investment,Branch,EquityMax,9,8289,Individual,1113,10017
C270,2023-04-10,Investment,Branch,BondSafe,16,48624,Corporate,758,12128
C144,2024-02-09,Investment,Online,GrowthFund,1,1012,Individual,1077,1077
C225,2023-03-15,Insurance,Online,HealthPlus,10,37020,SME,1493,14930
C053,2023-02-08,Investment,Agent,EquityMax,1,3172,SME,1113,1113
C125,2025-06-22,Banking,Branch,CreditLine,13,22620,SME,1340,17420
C149,2024-09-19,Insurance,Agent,TravelCare,20,26860,Corporate,758,15160
C275,2025-05-25,Investment,Branch,GrowthFund,20,35240,SME,1077,21540
C241,2024-07-27,Insurance,Online,TravelCare,10,23800,Corporate,758,7580
C155,2024-04-27,Investment,Online,EquityMax,10,14510,Corporate,1113,11130
C049,2023-04-05,Investment,Agent,EquityMax,2,5206,SME,1113,2226
C208,2024-03-30,Banking,Branch,SavingsPro,5,10870,Corporate,1216,6080
C020,2025-04-10,Insurance,Online,TravelCare,8,23272,Corporate,758,6064
C193,2023-02-15,Banking,Agent,CreditLine,8,28176,Individual,1340,10720
C061,2023-05-03,Investment,Online,BondSafe,14,20062,Individual,758,10612
C299,2023-08-07,Insurance,Online,HealthPlus,16,13680,Corporate,1493,23888
C222,2023-05-14,Insurance,Branch,HealthPlus,19,13775,Corporate,1493,28367
C045,2023-03-24,Banking,Branch,LoanX,19,67279,Individual,1244,23636
C125,2024-12-12,Investment,Online,GrowthFund,14,21840,SME,1077,15078
C287,2024-04-02,Insurance,Branch,TravelCare,9,11556,Individual,758,6822
C021,2024-08-24,Banking,Online,CreditLine,17,62900,SME,1340,22780
C004,2024-11-16,Investment,Branch,GrowthFund,17,22304,Individual,1077,18309
C286,2023-07-13,Investment,Online,GrowthFund,4,14896,Corporate,1077,4308
C296,2024-02-04,Investment,Online,GrowthFund,15,33675,Individual,1077,16155
C198,2023-08-30,Banking,Agent,SavingsPro,3,11160,Corporate,1216,3648
C109,2025-04-05,Investment,Branch,BondSafe,12,42792,Corporate,758,9096
C065,2024-08-13,Insurance,Branch,HealthPlus,19,58824,Individual,1493,28367
C024,2025-05-26,Insurance,Branch,LifeSecure,1,783,Corporate,1362,1362
C132,2023-04-22,Banking,Online,LoanX,2,6252,Corporate,1244,2488
C090,2024-01-01,Insurance,Branch,TravelCare,1,2241,Individual,758,758
C208,2023-04-17,Banking,Agent,LoanX,6,21150,SME,1244,7464
C073,2023-10-13,Insurance,Branch,LifeSecure,20,37520,SME,1362,27240
C270,2025-06-20,Investment,Online,BondSafe,7,19880,SME,758,5306
C204,2024-05-27,Insurance,Agent,LifeSecure,17,54468,Individual,1362,23154
C168,2025-05-10,Banking,Online,CreditLine,1,2373,Corporate,1340,1340
C128,2023-02-21,Insurance,Online,HealthPlus,12,42708,Corporate,1493,17916
C210,2023-01-20,Investment,Branch,GrowthFund,17,31382,SME,1077,18309
C214,2023-06-28,Insurance,Branch,HealthPlus,9,12456,Corporate,1493,13437
C193,2024-04-29,Banking,Branch,CreditLine,14,36540,Corporate,1340,18760
C123,2023-06-05,Banking,Agent,LoanX,4,8936,Individual,1244,4976
C144,2023-05-13,Investment,Agent,GrowthFund,10,26190,Corporate,1077,10770
C076,2023-06-16,Investment,Agent,BondSafe,18,49536,Individual,758,13644
C279,2024-03-30,Banking,Branch,CreditLine,18,31230,Individual,1340,24120
C216,2023-05-09,Insurance,Branch,TravelCare,11,11352,Individual,758,8338
C267,2024-03-31,Investment,Agent,BondSafe,15,22455,Individual,758,11370
C198,2023-12-28,Banking,Branch,LoanX,8,6288,SME,1244,9952
C225,2023-11-15,Investment,Online,GrowthFund,12,35304,SME,1077,12924
C021,2024-02-17,Investment,Branch,BondSafe,4,4592,SME,758,3032
C066,2024-12-11,Insurance,Branch,TravelCare,5,5125,Corporate,758,3790
C214,2025-06-01,Banking,Agent,SavingsPro,11,36124,Individual,1216,13376
C079,2024-10-08,Insurance,Agent,LifeSecure,16,41648,Individual,1362,21792
C280,2025-06-19,Banking,Agent,SavingsPro,8,16168,Individual,1216,9728
C064,2024-02-23,Investment,Branch,BondSafe,18,36792,SME,758,13644
C127,2024-06-29,Insurance,Branch,TravelCare,17,66334,SME,758,12886
C179,2024-12-21,Banking,Agent,SavingsPro,5,4425,SME,1216,6080
C266,2024-10-09,Insurance,Online,TravelCare,8,30632,Individual,758,6064
C026,2024-08-26,Insurance,Agent,HealthPlus,10,26710,Corporate,1493,14930
C244,2023-08-14,Insurance,Agent,LifeSecure,1,3769,SME,1362,1362
C240,2025-01-20,Investment,Online,GrowthFund,17,25279,Individual,1077,18309
C164,2025-03-28,Insurance,Branch,TravelCare,3,4047,SME,758,2274
C284,2024-11-04,Insurance,Online,TravelCare,17,37621,Corporate,758,12886
C210,2024-10-18,Banking,Agent,CreditLine,2,5038,Corporate,1340,2680
C022,2025-04-29,Banking,Branch,CreditLine,8,25832,SME,1340,10720
C104,2024-04-05,Banking,Agent,SavingsPro,5,18735,Individual,1216,6080
C173,2024-10-10,Insurance,Agent,HealthPlus,15,43080,SME,1493,22395
C011,2023-11-02,Insurance,Online,LifeSecure,18,31752,Individual,1362,24516
C086,2024-10-31,Insurance,Online,TravelCare,1,3801,Individual,758,758
C229,2023-09-27,Banking,Online,LoanX,14,10360,Individual,1244,17416
C127,2024-11-02,Insurance,Agent,TravelCare,20,19760,Corporate,758,15160
C111,2024-11-05,Banking,Online,CreditLine,19,35568,SME,1340,25460
C016,2023-01-14,Banking,Branch,CreditLine,6,17628,Corporate,1340,8040
C071,2025-04-29,Investment,Online,GrowthFund,1,2002,Individual,1077,1077
C186,2023-10-27,Insurance,Online,LifeSecure,4,15340,SME,1362,5448
C273,2023-02-28,Banking,Agent,CreditLine,6,9780,SME,1340,8040
C248,2024-05-04,Banking,Online,SavingsPro,5,10030,Individual,1216,6080
C101,2024-04-13,Insurance,Online,TravelCare,20,79600,Individual,758,15160
C240,2025-04-05,Insurance,Branch,HealthPlus,8,17528,SME,1493,11944
C290,2023-06-26,Investment,Agent,EquityMax,19,24263,Corporate,1113,21147
C089,2023-10-15,Banking,Branch,LoanX,12,42144,Individual,1244,14928
C195,2025-02-25,Investment,Online,EquityMax,1,3075,SME,1113,1113
C276,2023-09-07,Insurance,Agent,HealthPlus,7,20902,Individual,1493,10451
C029,2023-02-07,Investment,Agent,EquityMax,10,9850,SME,1113,11130
C008,2024-10-27,Banking,Online,CreditLine,9,23247,Corporate,1340,12060
C166,2023-04-14,Investment,Online,GrowthFund,13,25779,SME,1077,14001
C093,2024-05-27,Banking,Online,CreditLine,5,16980,SME,1340,6700
C050,2023-04-11,Investment,Branch,GrowthFund,13,11713,Corporate,1077,14001
C283,2023-09-07,Banking,Online,CreditLine,20,56720,Corporate,1340,26800
C166,2024-09-01,Banking,Agent,SavingsPro,15,56865,Individual,1216,18240
C104,2023-01-09,Investment,Online,BondSafe,5,5025,Corporate,758,3790
C006,2024-05-15,Insurance,Agent,TravelCare,5,15500,Corporate,758,3790
C104,2025-04-05,Investment,Online,GrowthFund,7,26026,Corporate,1077,7539
C034,2025-04-01,Banking,Online,LoanX,18,24066,Individual,1244,22392
